series,x,y
Blue,201.5,108.0
Blue,202.5,75.0
Blue,203.5,91.0
Blue,204.5,67.0
Blue,205.5,67.0
Blue,206.5,61.0
Blue,207.5,56.0
Blue,208.5,37.0
Blue,209.5,30.0
Blue,210.5,27.0
Blue,211.5,23.0
Blue,212.5,19.0
Blue,213.5,24.0
Blue,214.5,18.0
Blue,215.5,8.0
Blue,216.5,7.0
Blue,217.5,4.0
Blue,218.5,2.0
Blue,219.5,1.0
Blue,220.5,0.0
Blue,221.5,0.0
Blue,222.5,0.0
Blue,223.5,3.0
Blue,224.5,1.0
Blue,225.5,1.0
Blue,226.5,0.0
Blue,227.5,0.0
Blue,228.5,0.0
Blue,229.5,0.0
Blue,230.5,0.0
Blue,231.5,0.0
Blue,232.5,0.0
Blue,233.5,0.0
Blue,234.5,0.0
Blue,235.5,0.0
Blue,236.5,0.0
Blue,237.5,0.0
Blue,238.5,0.0
Blue,239.5,0.0
Blue,240.5,0.0
Blue,241.5,0.0
Blue,242.5,0.0
Blue,243.5,0.0
Blue,244.5,0.0
Blue,245.5,0.0
Blue,246.5,0.0
Blue,247.5,0.0
Blue,248.5,0.0
Blue,249.5,0.0
Blue,250.5,0.0
Blue,251.5,0.0
Blue,252.5,0.0
Blue,253.5,0.0
Blue,254.5,0.0
Blue,255.5,0.0
